finalEmotion,anger,trust,fear,sadness,anticipation,disgust,surprise,joy,positive,negetive,Year,Term,Course,Question,tokens,Comments
trust,0,1,0,1,0,1,0,0,2,2,2013,Fall 2013,Operating Syst and Networking,Please list outstanding strengths of the course and/or instructor,dr knowledgeable subject enjoyed the lectures would reference real world experience fat microsoft correlate the material that learning,"Dr. T is very knowledgeable on the subject. I enjoyed the lectures where she would reference her real world experience fat Microsoft and correlate that with the material that we were learning.
"
trust,0,1,0,0,1,0,0,0,2,0,2013,Fall 2013,Operating Syst and Networking,Please list outstanding strengths of the course and/or instructor,instructor great way encouraging students learn the material different groups deliver lecture regarding section of the course,"The instructor had a great way of encouraging students to learn the material by having different groups deliver a lecture regarding a section of the course.
"
fear,0,0,1,0,0,0,0,0,1,0,2013,Fall 2013,Operating Syst and Networking,Please list outstanding strengths of the course and/or instructor,easy going though lecture material great the homework makes learn the material,"Very easy going, though the lecture material is not that great the homework makes you learn the material.
"
surprise,0,1,0,0,1,0,2,1,2,0,2013,Fall 2013,Operating Syst and Networking,Please list outstanding strengths of the course and/or instructor,good reading powerpoints guess,"She is good at reading powerpoints, I guess.
"
anticipation,0,1,0,0,3,0,0,0,4,0,2013,Fall 2013,Operating Syst and Networking,Please list outstanding strengths of the course and/or instructor,always well prepared class despite long length particular section of the class she structured the class lectures way keep interest she also great job answering questions sense of humor made the long lectures bearable,"She was always very well prepared for class. Despite the long length of this particular section of the class she structured the class/lectures in such a way as to keep my interest. She also did a great job answering questions and had a sense of humor which made the long lectures bearable.
"
trust,0,6,0,0,3,0,1,2,7,0,2013,Fall 2013,Operating Syst and Networking,Please suggest areas for improvement of the course and/or instruction method,professor tzacheva needs get class involved the material covering she tends to speak in monotone voice writes the material the white board nearly word word the book think she is good teacher needs to work on presentation skills make class more interactive and interesting and ask more questions the students,"Professor Tzacheva needs to get the class more involved in the material that she is covering. She tends to speak in a monotone voice and writes the material on the white board nearly word for word from the book. I think she is a good teacher but just needs to work on her presentation skills, make class more interactive and interesting, and ask more questions of the students.
"
anticipation,0,0,0,0,1,0,1,1,1,0,2013,Fall 2013,Operating Syst and Networking,Please suggest areas for improvement of the course and/or instruction method,little enthusiasm presenting class,"A little more enthusiasm when presenting to the class.
"
trust,0,2,1,0,1,0,1,1,2,0,2013,Fall 2013,Operating Syst and Networking,Please suggest areas for improvement of the course and/or instruction method,much material outdated lectures homework test straight text outdated material and is material offered compliment the book clarify concepts issue desperately need to fixed,"Much of the material is outdated; lectures, homework, and test are straight from a text with outdated material; and there is no material offered to compliment the book or clarify concepts. These issue desperately need to be fixed.
"
trust,0,3,0,0,1,0,0,2,3,1,2013,Fall 2013,Operating Syst and Networking,Please suggest areas for improvement of the course and/or instruction method,found class rather boring was enthusiastic manner the material was presented think effective way improve the atmosphere in the class would to restructure the material presented in the class implementing hand class period perhaps live demonstrations the operating systems work on the projector,"I found that this class was rather boring. I was not enthusiastic about the manner in which the material was being presented. I think an effective way to improve the atmosphere in the class would be to restructure how the material is presented in the class by implementing a more hand on class period. Perhaps live demonstrations of have the operating systems work on the projector.
"
trust,0,2,0,0,2,0,0,2,4,0,2013,Fall 2013,Operating Syst and Networking,Please suggest areas for improvement of the course and/or instruction method,entire structure tests seriously changed the tests test well know the material simply test how well you find exact string of text the book you look the class statistics everyone should be well however one really knows the material students brought the odd format of the tests the instructor seems unwilling make appropriate tests glad be getting an class am sad have hardly learned thing should be more programming assignments instead of incredibly easy book questions not satisfied got of this class despite getting an,"The entire structure of tests should be seriously changed! The tests do not test how well you know the material, they simply test how well you can find an exact string of text from the book. If you look at the class statistics, everyone should be doing very well (A or B), however no one really knows the material. Students have brought up the odd format of the tests, but the instructor seems unwilling to make more appropriate tests. While I am glad I will be getting an A in this class, I am sad that I have hardly learned a thing. There should be more programming assignments instead of incredibly easy book questions. Over all I was not satisfied with what I got out of this class (despite getting an A).
"
